CircuitLength,cumulative_laps,TrackTemp,AirTemp,stint_num,EventEncoded,Humidity,Rainfall,SafetyCar
5000,11,16.360204081632652,9.499999999999998,1,9,59.40408163265305,1,0
5000,30,40.34242424242424,28.80606060606061,1,19,51.36287878787879,0,0
5000,15,30.60328947368421,26.41513157894737,1,18,75.54013157894737,1,0
5000,10,15.205755395683456,13.09568345323741,1,25,80.1611510791367,1,0
4309,7,51.56139240506329,23.1373417721519,1,24,60.10126582278481,0,0
5000,8,15.205755395683456,13.09568345323741,1,25,80.1611510791367,1,0
5412,13,28.61042944785276,23.617791411042944,1,5,29.49079754601227,0,0
5000,34,18.18089171974522,15.82547770700637,1,25,93.5248407643312,0,0
4318,30,33.18397435897436,20.96602564102564,1,3,49.73076923076923,1,0
5303,22,37.40833333333334,26.69743589743589,1,2,43.65384615384615,0,0
5281,23,28.4656050955414,24.519108280254777,1,1,59.05477707006369,0,0
5793,17,41.201398601398594,28.090909090909093,1,13,40.12447552447553,0,0
5000,11,16.360204081632652,9.499999999999998,1,9,59.40408163265305,1,0
5000,19,35.22879999999999,25.3144,1,11,58.6304,0,0
5000,17,30.60328947368421,26.41513157894737,1,18,75.54013157894737,1,0
6174,9,31.68497409326425,28.816062176165804,1,21,76.20310880829015,0,0
5000,33,39.92,20.8225,1,23,34.005,1,0
4909,13,23.2608,18.0304,1,10,71.1368,0,0
5513,11,37.47080745341616,28.148447204968942,1,27,61.19254658385093,0,0
5000,17,43.22758620689656,25.287068965517243,1,0,58.55603448275862,0,0
5000,18,35.22879999999999,25.3144,1,11,58.6304,0,0
5412,15,28.61042944785276,23.617791411042944,1,5,29.49079754601227,0,0
5513,12,37.47080745341616,28.148447204968942,1,27,61.19254658385093,0,0
4909,18,17.41898734177215,12.899367088607592,1,10,83.17088607594937,0,0
5303,22,37.40833333333334,26.69743589743589,1,2,43.65384615384615,0,0
5000,12,43.22758620689656,25.287068965517243,1,0,58.55603448275862,0,0
5793,26,43.52751677852349,28.885234899328864,1,13,33.275838926174494,0,0
5891,13,40.6328125,21.29140625,1,7,44.16796874999999,0,0
5000,20,21.75696202531645,19.13860759493671,1,19,61.947468354430384,1,0
5412,14,28.61042944785276,23.617791411042944,1,5,29.49079754601227,0,0
5000,17,35.22879999999999,25.3144,1,11,58.6304,0,0
5000,14,43.22758620689656,25.287068965517243,1,0,58.55603448275862,0,0
5793,25,43.52751677852349,28.885234899328864,1,13,33.275838926174494,0,0
5000,24,30.60328947368421,26.41513157894737,1,18,75.54013157894737,1,0
6174,16,28.40921052631579,25.42039473684211,1,21,59.66447368421053,0,0
5412,15,27.627819548872186,20.53834586466165,1,5,54.517293233082704,0,0
4318,32,33.18397435897436,20.96602564102564,1,3,49.73076923076923,1,0
5000,14,25.715625,20.50546875,1,17,67.528125,0,0
5000,16,40.34242424242424,28.80606060606061,1,19,51.36287878787879,0,0
4657,9,32.9223076923077,22.203076923076924,1,22,57.55307692307692,0,0
5000,17,35.22879999999999,25.3144,1,11,58.6304,0,0
6174,16,28.40921052631579,25.42039473684211,1,21,59.66447368421053,0,0
4909,34,23.2608,18.0304,1,10,71.1368,0,0
5891,12,40.6328125,21.29140625,1,7,44.16796874999999,0,0
